teamcode,Season,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted By,Draft Year,Salary,Index,PlayerKey,ProfileLookup,Player ID,PlayerImgurl,HeightInInches,Draft Pick (Overall),Draft Round,UPPERCASE
ATL,2019,50,John Cominsky,24,DE,3,0,285,6-5,Charleston (WV),"Wednesday, November 22, 1995",0,,Atlanta Falcons,2019,"$495,000.",11,ATL11,https://www.pro-football-reference.com/players/C/ComiJo00.htm,ATL11,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/ComiJo00_2019.jpg,77,,,JOHN COMINSKY
ATL,2019,76,Kaleb McGary,24,OL,3,3,306,6-6,Washington,"Wednesday, February 22, 1995",0,,Atlanta Falcons,2019,"$495,000.",30,ATL30,https://www.pro-football-reference.com/players/M/McGaKa00.htm,ATL30,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/McGaKa00_2019.jpg,78,,,KALEB MCGARY
ATL,2019,28,Jordan Miller,22,CB,,,190,6-2,Washington,"Saturday, February 8, 1997",0,,Atlanta Falcons,2019,"$495,000.",32,ATL32,https://www.pro-football-reference.com/players/M/MillJo05.htm,ATL32,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MillJo05_2019.jpg,74,,,JORDAN MILLER
ATL,2019,30,Qadree Ollison,23,RB,,,232,6-1,Pittsburgh,"Sunday, September 8, 1996",0,,Atlanta Falcons,2019,"$495,000.",35,ATL35,https://www.pro-football-reference.com/players/O/OlliQa00.htm,ATL35,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/OlliQa00_2019.jpg,73,,,QADREE OLLISON
ATL,2019,20,Kendall Sheffield,23,CB,3,0,212,5-10,Ohio St.,"Thursday, May 30, 1996",0,,Atlanta Falcons,2019,"$495,000.",45,ATL45,https://www.pro-football-reference.com/players/S/ShefKe00.htm,ATL45,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/ShefKe00_2019.jpg,70,,,KENDALL SHEFFIELD
BUF,2019,70,Cody Ford,23,OL,3,3,329,6-3,Oklahoma,"Saturday, December 28, 1996",0,,Buffalo Bills,2019,"$495,000.",15,BUF15,https://www.pro-football-reference.com/players/F/FordCo00.htm,BUF15,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/FordCo00_2019.jpg,75,,,CODY FORD
BUF,2019,92,Darryl Johnson,22,DE,3,0,253,6-6,North Carolina A&T,"Friday, April 4, 1997",0,,Buffalo Bills,2019,"$495,000.",21,BUF21,https://www.pro-football-reference.com/players/J/JohnDa10.htm,BUF21,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/JohnDa10_2019.jpg,78,,,DARRYL JOHNSON
BUF,2019,46,Jaquan Johnson,24,CB,,,191,5-10,Miami (FL),"Monday, November 13, 1995",0,,Buffalo Bills,2019,"$495,000.",22,BUF22,https://www.pro-football-reference.com/players/J/JohnJa11.htm,BUF22,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/JohnJa11_2019.jpg,70,,,JAQUAN JOHNSON
BUF,2019,88,Dawson Knox,23,TE,3,0,254,6-4,Mississippi,"Monday, November 4, 1996",0,,Buffalo Bills,2019,"$495,000.",26,BUF26,https://www.pro-football-reference.com/players/K/KnoxDa00.htm,BUF26,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/KnoxDa00_2019.jpg,76,,,DAWSON KNOX
BUF,2019,91,Ed Oliver,22,DL,3,3,287,6-1,Houston,"Friday, December 12, 1997",0,,Buffalo Bills,2019,"$495,000.",39,BUF39,https://www.pro-football-reference.com/players/O/OlivEd00.htm,BUF39,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/OlivEd00_2019.jpg,73,,,ED OLIVER
