QB Short,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted By,Draft Year,Salary,Index,ProfileLookup,HeightInInches,QBName,FixedImg,PlayerKey,CurrentTeam,IsCurrentStarter
"Ryan, M.",2,34,QB,1,1,217,6-4,Boston Col.,"Friday, May 17, 1985",11,,Atlanta Falcons,2008,"$2,750,000.",39,https://www.pro-football-reference.com/players/R/RyanMa00.htm,76,Matt Ryan,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/RyanMa00_2019.jpg,ATL39,ATL,Yes
"Allen, J.",17,23,QB,1,1,237,6-5,Wyoming,"Tuesday, May 21, 1996",1,,Buffalo Bills,2018,"$570,000.",2,https://www.pro-football-reference.com/players/A/AlleJo02.htm,77,Josh Allen,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/AlleJo02_2019.jpg,BUF2,BUF,Yes
"Newton, C.",1,30,QB,1,1,245,6-5,"Florida,Blinn College (TX),Auburn","Thursday, May 11, 1989",8,,Carolina Panthers,2011,"$16,200,000.",34,https://www.pro-football-reference.com/players/N/NewtCa00.htm,77,Cam Newton,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/NewtCa00_2019.jpg,CAR34,CAR,No
"Allen, K.",,,QB,,,,,,,,,,,,,,,Kyle Allen,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/AlleKy00_2019.jpg,,CAR,Yes
"Trubisky, M.",10,25,QB,1,1,215,6-2,North Carolina,"Saturday, August 20, 1994",2,,Chicago Bears,2017,"$645,000.",47,https://www.pro-football-reference.com/players/T/TrubMi00.htm,74,Mitchell Trubisky,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/TrubMi00_2019.jpg,CHI47,CHI,Yes
"Dalton, A.",14,32,QB,1,1,220,6-2,TCU,"Thursday, October 29, 1987",8,,Cincinnati Bengals,2011,"$16,000,000.",10,https://www.pro-football-reference.com/players/D/DaltAn00.htm,74,Andy Dalton,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/DaltAn00_2019.jpg,CIN10,CIN,Yes
"Mayfield, B.",6,24,QB,1,1,215,6-1,Oklahoma,"Friday, April 14, 1995",1,,Cleveland Browns,2018,"$570,000.",25,https://www.pro-football-reference.com/players/M/MayfBa00.htm,73,Baker Mayfield,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MayfBa00_2019.jpg,CLE25,CLE,Yes
"Brissett, J.",7,27,QB,1,1,238,6-4,"Florida,North Carolina St.","Friday, December 11, 1992",3,,New England Patriots,2016,"$2,000,000.",5,https://www.pro-football-reference.com/players/B/BrisJa00.htm,76,Jacoby Brissett,https://powerpivotpro.com/wp-content/uploads/2019/09/brissett.jpg,CLT5,CLT,Yes
"Murray, K.",1,22,QB,1,1,207,5-10,Oklahoma,"Thursday, August 7, 1997",0,,Arizona Cardinals,2019,"$495,000.",34,https://www.pro-football-reference.com/players/M/MurrKy00.htm,70,Kyler Murray,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MurrKy00_2019.jpg,CRD34,CRD,Yes
"Prescott, D.",4,26,QB,1,1,238,6-2,Mississippi St.,"Thursday, July 29, 1993",3,,Dallas Cowboys,2016,"$2,025,000.",36,https://www.pro-football-reference.com/players/P/PresDa01.htm,74,Dak Prescott,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/PresDa01_2019.jpg,DAL36,DAL,Yes
