Team,TeamCode,Location,Mascot,Conference,Division
Carolina Panthers,car,Carolina,Panthers,NFC,South
Baltimore Ravens,rav,Baltimore,Ravens,AFC,North
Detroit Lions,det,Detroit,Lions,NFC,North
Cincinnati Bengals,cin,Cincinnati,Bengals,AFC,North
Houston Texans,htx,Houston,Texans,AFC,South
Washington Redskins,was,Washington,Redskins,NFC,East
Green Bay Packers,gnb,Green Bay,Packers,NFC,North
Miami Dolphins,mia,Miami,Dolphins,AFC,East
New York Giants,nyg,New York,Giants,NFC,East
Pittsburgh Steelers,pit,Pittsburgh,Steelers,AFC,North
Tennessee Titans,oti,Tennessee,Titans,AFC,South
Oakland Raiders,rai,Oakland,Raiders,AFC,West
Los Angeles Rams,ram,Los Angeles,Rams,NFC,West
Denver Broncos,den,Denver,Broncos,AFC,West
Atlanta Falcons,atl,Atlanta,Falcons,NFC,South
New York Jets,nyj,New York,Jets,AFC,East
Jacksonville Jaguars,jax,Jacksonville,Jaguars,AFC,South
Kansas City Chiefs,kan,Kansas City,Chiefs,AFC,West
Buffalo Bills,buf,Buffalo,Bills,AFC,East
Minnesota Vikings,min,Minnesota,Vikings,NFC,North
Dallas Cowboys,dal,Dallas,Cowboys,NFC,East
Indianapolis Colts,clt,Indianapolis,Colts,AFC,South
Philadelphia Eagles,phi,Philadelphia,Eagles,NFC,East
New England Patriots,nwe,New England,Patriots,AFC,East
Arizona Cardinals,crd,Arizona,Cardinals,NFC,West
Tampa Bay Buccaneers,tam,Tampa Bay,Buccaneers,NFC,South
Los Angeles Chargers,sdg,Los Angeles,Chargers,AFC,West
Seattle Seahawks,sea,Seattle,Seahawks,NFC,West
San Francisco 49ers,sfo,San Francisco,49ers,NFC,West
Cleveland Browns,cle,Cleveland,Browns,AFC,North
Chicago Bears,chi,Chicago,Bears,NFC,North
New Orleans Saints,nor,New Orleans,Saints,NFC,South
